""
Differential data
,255-CAL_DAC
97,,0,0,0,0,0,0,0,0,24,60,16,0,0,0,0,0,0,0,0,25.92,0.6273754856543249
98,,0,0,0,0,0,0,0,0,43,55,2,0,0,0,0,0,0,0,0,25.59,0.5309425580983315
99,,0,0,0,0,0,0,0,0,33,63,4,0,0,0,0,0,0,0,0,25.71,0.534696175411794
100,,0,0,0,0,0,0,24,61,15,0,0,0,0,0,0,0,0,0,0,23.91,0.6179805822192151
101,,0,0,0,0,0,0,0,5,66,27,2,0,0,0,0,0,0,0,0,25.26,0.576541412215983
102,,0,0,0,0,0,0,0,1,46,51,2,0,0,0,0,0,0,0,0,25.54,0.5553377350765928
103,,0,0,0,0,0,0,0,0,27,53,20,0,0,0,0,0,0,0,0,25.93,0.6819824044651006
104,,0,0,0,0,0,0,0,0,0,31,67,2,0,0,0,0,0,0,0,26.71,0.49588305072869754
105,,0,0,0,0,0,0,50,48,2,0,0,0,0,0,0,0,0,0,0,23.52,0.5381449618829485
106,,0,0,0,0,0,0,0,0,25,63,12,0,0,0,0,0,0,0,0,25.87,0.5942221806698232
107,,0,0,0,0,0,0,0,0,1,36,58,5,0,0,0,0,0,0,0,26.67,0.5840376700179536
108,,0,0,0,0,0,0,0,0,0,0,12,66,22,0,0,0,0,0,0,28.1,0.5744562646538028
109,,0,0,0,0,0,0,0,0,21,61,17,1,0,0,0,0,0,0,0,25.98,0.6477653896280658
110,,0,0,0,0,0,0,0,4,65,28,3,0,0,0,0,0,0,0,0,25.3,0.5916079783099616
111,,0,0,0,0,0,0,0,0,3,51,44,2,0,0,0,0,0,0,0,26.45,0.5894913061275798
112,,0,0,0,0,0,0,0,3,75,21,1,0,0,0,0,0,0,0,0,25.2,0.4898979485566356
113,,0,0,0,0,0,0,0,2,74,24,0,0,0,0,0,0,0,0,0,25.22,0.46
114,,0,0,0,0,0,0,0,0,10,59,30,1,0,0,0,0,0,0,0,26.22,0.6257795138864807
115,,0,0,0,0,0,0,0,0,0,0,30,54,16,0,0,0,0,0,0,27.86,0.6636264009214823
116,,0,0,0,0,0,0,0,8,72,20,0,0,0,0,0,0,0,0,0,25.12,0.5153639490690051
117,,0,0,0,0,0,0,0,7,60,33,0,0,0,0,0,0,0,0,0,25.26,0.576541412215983
118,,0,0,0,0,0,2,73,25,0,0,0,0,0,0,0,0,0,0,0,23.23,0.4659399102888698
119,,0,0,0,0,0,1,37,57,5,0,0,0,0,0,0,0,0,0,0,23.66,0.5868560300448484
120,,0,0,0,0,0,0,0,23,73,4,0,0,0,0,0,0,0,0,0,24.81,0.48363209157374987
121,,0,0,0,0,0,0,0,0,0,0,17,64,19,0,0,0,0,0,0,28.02,0.5996665740225979
122,,0,0,0,0,0,0,0,12,72,16,0,0,0,0,0,0,0,0,0,25.04,0.5276362383309168
123,,0,0,0,0,0,0,0,0,8,51,41,0,0,0,0,0,0,0,0,26.33,0.6173329733620261
124,,0,0,0,0,0,0,0,0,8,49,41,2,0,0,0,0,0,0,0,26.37,0.6581033353509159
125,,0,0,0,0,0,0,10,71,18,1,0,0,0,0,0,0,0,0,0,24.1,0.5567764362830021
126,,0,0,0,0,0,0,0,0,2,21,66,11,0,0,0,0,0,0,0,26.86,0.616765757804371
127,,0,0,0,0,0,0,0,0,42,51,7,0,0,0,0,0,0,0,0,25.65,0.6062177826491071
